id,status,request_type,description,created,closed,response_hours,sla_breach,latitude,longitude,location_detail
1286318,Archived,Road Repair,NW 2ND AVE. Northbound just after nw 10th ave. Large pothole .,2014-09-17 16:21:00,,,0,29.6516344,-82.3248262,NW 2ND ST
1286344,Archived,Road Repair,,2014-09-17 16:45:00,2014-09-17 16:55:00,0.16666666666666666,0,29.6475456104085,-82.333901584496,901-999 SW 5 AVE
1883916,Archived,Grass (Overgrown),"Yard has not been maintained for months, likely longer.",2015-08-31 14:09:00,2015-08-31 14:46:00,0.6166666666666667,0,29.652462,-82.3651469,5 NW 28TH TERR
1885959,Archived,Residential Rental Maintenance,"The AC in my unit has been down for roughly 10 days now. I've tried contacting the sales manager, general manager, and office employees multiple times without a single response. They seem to be ignoring my situation. Both my roommate and I have sent complaints and we haven't heard back from them regarding the issue. I finally get my attorney involved last week and they told me that they would have the AC fixed by last Thursday or Friday or would add an extra portable AC unit. However they failed to respond after that. Then I contacted the general manager on Friday asking about the AC and he replied that he'd have it fixed by the weekend, and if not he would install a window AC on Monday. It's Tuesday now and he is continuing to ignore my messages. Its summer in Gainesville FL and without AC, one cannot live in a closed space. My roommate and I have been getting sick because of the upwards of 88 degree temperature in our apartment. The maintenence crew put a ""small room"" size portable AC in our apartment and explained that it would only be a few days. It has been almost 2 weeks and this small room AC can only cool the living room. Another issue is that my roof is leaking in my apartment when it rains. Instead of coming to fix it or patch it up, the maintenance says ""its okay for now"". Many doors around the complex are always open and it makes me feel unsafe. I also have a problem with trash piling up in the garage near the trash shoots. Noone ever cleans them up so they tend to fill up one or two parking spaces. Also, the only elevator on the premises has an expired permit. Its been expired for a month now and people are using it everyday.",2015-09-01 09:31:00,2015-09-14 15:38:00,318.1166666666667,1,29.6361748,-82.378115,1720 SW 37TH ST
1899128,Archived,Flooding,Severe flooding at NW 4th Terrace,2015-09-07 18:20:00,,,0,29.6809007,-82.3286488,3103 NW 4 TERR
1922946,Archived,Trash/Debris (Private Property),Trash at 1725 NW 22nd street is left out at end of driveway. It is very messy and unsightly. It needs to be in garage.,2015-09-20 12:14:00,2015-09-21 09:54:00,21.666666666666668,0,29.6687963570451,-82.352352851084,1700-1898 NW 22 ST
1939927,Archived,Other,,2015-09-27 14:50:00,2015-09-28 08:00:00,17.166666666666668,0,29.6513991,-82.3674746,SW 30TH ST
1952859,Archived,Other,There is a palmetto overgrown on the corner of NW16th Ave and NW 4th street blocking the view down the road and interfering with the sidewalk.  This overgrown palmetto is very near the stopsign on public right of way I believe.  It makes this corner very dangerous for drivers who cannot see to pull out onto 16th Avenue and should be removed.,2015-10-02 21:33:00,2015-10-05 08:45:00,59.2,0,29.6665581909072,-82.3288111001353,1522 NW 4TH ST
1961852,Archived,Other,Street pavement left incomplete and more of a hazard . Roadway left cracked due to oversized/heavy vehicles parked for extended time,2015-10-07 13:18:00,2015-10-21 08:35:00,331.28333333333336,1,29.6807250976562,-82.3110961914062,3017 NE 11TH TERR
1980750,Archived,Streetlight/Lamp,"Two streetlights are burnt out or flickering still. On NW 10th Street, at two corners: NW 8th Ave and NW 9th Ave.",2015-10-18 21:10:00,2015-10-19 09:14:00,12.066666666666666,0,29.6599939471165,-82.3351017498043,851-877 NW 10TH ST
1985850,Archived,Parking in Yard (Other Than Driveway),Better picture of student cars avoiding designated parking area,2015-10-21 11:49:00,2015-10-21 17:18:00,5.483333333333333,0,29.6543426513672,-82.3517761230469,2105 NW 3RD PL
1985252,Archived,Parking in Yard (Other Than Driveway),Kids are avoiding marked parking area and parking east of parking area,2015-10-21 07:03:00,2015-10-21 07:57:00,0.9,0,29.6543960571289,-82.3517379760742,2105 NW 3RD PL
2009909,Archived,Grass (Overgrown),"Chronic problem, no grass, just weeds!",2015-11-03 13:46:00,2015-11-04 10:53:00,21.116666666666667,0,29.6621470012556,-82.382354,3830 NW 10TH PL
2021042,Archived,Grass (Overgrown),4348 Nw 28th terr,2015-11-09 16:04:00,2015-11-10 10:10:00,18.1,0,29.694611,-82.3643189,4341 NW 28TH TERR
2026387,Archived,Streetlight/Lamp,Would be great if Gainesville would work to fix the light at 34th st and 39th ace. It's 3:40 pm and nb 34th is backed up over a mile already. #rushhourmustreallysuck #widentheroadplease,2015-11-12 15:41:00,2015-11-12 16:27:00,0.7666666666666667,0,29.6834812164307,-82.3723526000977,3125-3299 NW 34TH ST
